filename,Tree cover,Shrubland,Grassland,Cropland,Built-up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland
28.6583_76.2294.png,15.37,3.44,1.36,62.86,16.41,0.12,0.44,0.0
28.6082_76.3882.png,4.75,2.72,1.24,76.37,14.29,0.62,0.02,0.0
29.5880_76.0646.png,4.99,2.26,1.59,77.64,13.09,0.2,0.24,0.0
28.3969_77.4382.png,3.04,0.2,21.55,57.56,17.55,0.11,0.0,0.0
29.9469_76.3058.png,0.15,0.1,0.06,99.06,0.64,0.0,0.0,0.0
29.2705_75.9970.png,2.83,8.46,5.54,42.33,36.48,2.52,1.83,0.0
29.3582_76.3646.png,9.44,1.82,0.61,81.48,5.63,0.39,0.63,0.0
28.8617_75.4882.png,0.31,14.25,1.98,78.05,3.81,1.6,0.0,0.0
30.5583_76.9970.png,8.01,2.27,1.76,80.94,6.3,0.73,0.0,0.0
29.3793_75.2794.png,0.17,0.02,0.01,99.78,0.02,0.0,0.0,0.0
29.3380_75.8794.png,2.6,0.55,0.85,93.92,2.02,0.05,0.0,0.0
28.4381_77.3058.png,10.15,0.19,1.2,3.37,84.66,0.44,0.0,0.0
30.1082_76.6470.png,3.27,0.59,2.13,87.88,6.05,0.08,0.0,0.0
27.7881_77.2558.png,2.7,0.03,4.95,85.09,3.42,0.31,3.5,0.0
29.5880_76.1558.png,4.62,2.38,2.3,62.1,24.96,0.9,2.74,0.0
29.7204_74.6058.png,2.78,0.12,0.18,96.58,0.34,0.01,0.0,0.0
28.1293_76.6970.png,0.03,0.04,1.51,95.75,0.3,2.37,0.0,0.0
30.2381_76.6882.png,13.26,0.03,0.05,86.36,0.29,0.0,0.0,0.0
29.5704_75.9882.png,0.42,0.02,0.0,99.56,0.0,0.0,0.0,0.0
28.8705_76.0679.png,0.09,0.21,0.19,99.41,0.1,0.0,0.0,0.0
29.3582_76.2558.png,0.85,0.11,0.16,97.95,0.92,0.0,0.0,0.0
29.4469_74.7180.png,1.57,0.38,1.12,90.37,6.43,0.12,0.0,0.0
29.5083_74.6680.png,0.43,0.25,0.68,98.15,0.45,0.04,0.0,0.0
29.5616_75.2294.png,0.19,0.1,0.9,97.13,0.1,1.59,0.0,0.0
28.5381_76.3470.png,4.12,9.41,0.63,77.36,8.48,0.01,0.0,0.0
28.6381_75.8058.png,3.81,3.91,0.38,91.29,0.54,0.04,0.03,0.0
28.2204_77.3558.png,8.22,0.0,3.11,77.11,8.6,0.37,2.59,0.0
28.9117_76.0679.png,1.43,0.65,6.0,87.33,3.56,1.04,0.0,0.0
28.9969_77.1470.png,4.7,0.01,0.69,94.26,0.34,0.0,0.0,0.0
30.2083_76.8294.png,4.03,0.07,0.03,89.57,6.3,0.0,0.0,0.0
29.5205_75.8294.png,1.74,0.15,0.77,94.54,2.75,0.04,0.0,0.0
28.6793_76.7294.png,3.36,1.05,1.14,89.25,4.5,0.71,0.0,0.0
28.5117_75.7680.png,1.15,0.11,0.06,98.58,0.1,0.0,0.0,0.0
29.8204_74.9180.png,0.55,0.05,0.0,99.4,0.0,0.0,0.0,0.0
29.3292_75.7882.png,0.53,0.24,0.62,98.49,0.12,0.0,0.0,0.0
28.9381_75.7180.png,0.75,4.76,0.82,88.76,3.53,1.39,0.0,0.0
29.6881_75.2146.png,7.66,7.54,4.83,65.03,12.91,0.75,1.28,0.0
28.2204_77.2646.png,0.64,0.0,3.25,88.81,6.65,0.65,0.0,0.0
28.6583_76.6794.png,1.76,6.37,12.48,49.46,3.96,25.96,0.02,0.0
29.7293_76.8680.png,0.08,0.01,0.22,99.39,0.31,0.0,0.0,0.0
28.8969_76.1058.png,0.4,0.12,0.69,98.8,0.0,0.0,0.0,0.0
28.5583_76.0146.png,0.97,0.02,0.85,97.12,1.05,0.0,0.0,0.0
28.3881_76.3146.png,12.86,1.87,0.26,74.08,10.45,0.09,0.4,0.0
29.3793_75.6294.png,0.01,1.61,0.59,95.43,0.03,2.34,0.0,0.0
29.9469_76.7558.png,2.8,0.15,0.07,96.52,0.45,0.01,0.0,0.0
29.7617_74.9646.png,0.2,0.71,0.26,98.52,0.19,0.13,0.0,0.0
30.1381_77.1382.png,10.64,0.01,0.25,88.56,0.55,0.0,0.0,0.0
29.0117_76.6680.png,4.53,3.6,1.35,81.79,7.3,0.76,0.67,0.0
28.0293_77.2680.png,4.81,0.02,0.42,94.49,0.25,0.0,0.01,0.0
28.0205_76.9294.png,2.12,40.19,30.11,27.36,0.16,0.06,0.0,0.0
29.4083_75.2970.png,3.41,1.55,0.78,91.73,1.93,0.61,0.0,0.0
28.0616_76.3294.png,0.54,0.04,0.24,88.07,11.12,0.0,0.0,0.0
29.5880_76.5058.png,1.11,0.07,0.28,98.29,0.02,0.23,0.0,0.0
29.3582_76.6058.png,5.39,0.13,0.45,90.51,3.51,0.0,0.0,0.0
29.4293_75.7970.png,0.06,0.51,0.61,98.8,0.01,0.01,0.0,0.0
29.1705_76.6680.png,0.83,0.01,0.09,98.92,0.14,0.01,0.0,0.0
28.8969_76.4646.png,0.38,5.24,0.84,91.58,1.28,0.69,0.0,0.0
29.8083_76.7146.png,5.58,0.13,0.79,93.42,0.0,0.01,0.07,0.0
29.7617_74.8558.png,1.26,0.16,0.16,98.3,0.12,0.0,0.0,0.0
29.3116_75.4180.png,1.46,2.78,0.39,91.25,0.86,3.26,0.0,0.0
29.9469_76.6646.png,0.44,0.3,0.47,97.87,0.92,0.0,0.0,0.0
28.7705_76.8970.png,0.35,0.72,0.63,96.96,0.0,1.33,0.0,0.02
30.2293_76.9794.png,11.6,0.19,0.46,78.75,8.98,0.01,0.0,0.01
28.3204_76.7470.png,4.67,0.24,4.01,84.36,6.69,0.01,0.02,0.0
28.6117_76.8970.png,3.24,1.0,1.15,72.2,21.23,1.02,0.15,0.0
28.6793_76.3794.png,1.24,0.49,0.04,93.6,4.62,0.01,0.0,0.0
29.6082_76.4180.png,0.17,0.27,0.2,99.37,0.0,0.0,0.0,0.0
29.5616_75.6794.png,0.26,0.05,0.65,98.74,0.25,0.05,0.0,0.0
29.4704_76.5382.png,1.07,0.07,0.05,98.75,0.04,0.02,0.0,0.0
28.8969_76.5558.png,3.56,0.66,2.26,1.96,90.2,1.35,0.0,0.0
28.2204_76.3558.png,2.47,0.01,0.06,97.04,0.42,0.01,0.0,0.0
28.9583_75.5970.png,2.16,8.8,1.9,59.61,17.47,10.05,0.02,0.0
29.4205_77.1146.png,20.64,0.0,0.0,79.36,0.0,0.0,0.0,0.0
29.1469_76.1882.png,0.1,0.06,0.0,99.84,0.0,0.0,0.0,0.0
29.5205_74.8294.png,8.13,0.32,3.16,53.76,33.62,1.0,0.0,0.0
29.4881_76.9146.png,0.6,0.71,3.47,88.93,5.34,0.96,0.0,0.0
